,class,samples
4064,idle,"[-0.8236049999999999 0.029688100000000005 0.775721 0.6572089999999999
 0.13886400000000002 0.4377979292477562 -0.9196177948396937 4.505888
 5.796681733333332 6.746861 1.1360487500000005 6.112397000000001
 0.6912855083508761 -1.2746157792017636 5.995081 7.771578833333335
 9.054871 0.8427592500000003 7.881712500000001 0.6000706646346514
 0.7918582453126359]"
432,running,"[-7.383717999999999 5.101565066666666 28.452694 10.9426985 5.1810525
 8.847238141224583 0.5030194975097793 -14.5759 8.472122233333334 34.596214
 12.446258 6.6008145 12.93186122478632 -0.44717672584237 -6.095637
 1.7677191 21.997925 5.70059425 -0.629675 6.535425554150646
 2.058953117711459]"
4257,idle,"[-0.531513 0.40892970000000006 3.830723 0.34476550000000006
 0.18914199999999998 0.9136458315264966 5.910680467737677
 -2.5953150000000003 4.707479566666666 8.207322999999999 1.36469475
 4.8698065 2.1425832288858806 3.5784920849390662 5.583278
 8.005891366666667 10.084377 1.1504137500000011 8.054095 1.032927726165856
 0.14826110147857463]"
6449,stairs,"[-11.238382 -3.7574599333333336 2.987964 4.8841715 -3.8283285
 3.5293679061944214 -0.529212476994664 -17.00362 -8.709467233333333
 0.708684 7.019799500000001 -9.3349925 4.572423280032662
 -0.9216800042904736 -13.517663 -1.0671754000000002 5.971139
 2.0410565000000003 -1.0630255 3.1591316951028765 6.190415204161752]"
2921,running,"[-12.061988 9.076897533333334 33.303345 16.400282999999998
 7.340622499999999 11.985917816997462 -0.7760452199336276 -12.325351
 9.181923366666666 35.36715 24.235307000000002 4.941632500000001
 14.04791554191163 -1.039143623771955 -13.900735 0.06592046666666652
 34.25145 5.273229499999999 -1.4077905 8.459307029934497 6.609951235217228]"
6158,walking,"[-17.51598 -3.4605789333333328 3.74932 4.34427875 -1.5873555
 5.09594344250349 0.5281473138042183 -18.066647 -8.384015333333332
 4.151546 6.5170165 -8.944737499999999 5.784628992212317
 -0.5713371945202659 -17.142485 0.5184246 34.261024 4.0833105 0.3591305
 9.086600399438915 5.048535488285573]"
4194,idle,"[-0.320823 -0.09896033333333333 0.407014 0.03710999999999999 -0.114922
 0.12061538475317134 8.623102140338835 -0.244209 -0.1375867666666667
 0.023942 0.031125 -0.129287 0.044969149092597055 4.5022895761201 9.667787
 9.772652533333334 9.80665 0.014364999999999739 9.7755255
 0.02392116466887738 9.7132191553118]"
6199,walking,"[-7.575253999999998 -0.18754559999999987 8.566454 4.9966995
 0.04309550000000001 3.6263031175566907 -0.21462964218492075 -24.267628
 -10.129388566666666 5.985504 7.2532335 -10.503363 6.664212267012692
 -0.13655763680795774 -24.856602 -2.091414766666667 31.052795
 8.221688499999999 -3.1747115 8.858097550237378 5.201485571623234]"
4939,walking,"[-15.088259 -3.838384066666667 4.1419690000000005 3.2154127500000005
 -3.1627405 3.8742757441003772 1.2674507674275928 -19.033903
 -9.866505166666665 -1.47004 5.645527749999998 -10.249577500000001
 4.374317538687189 -0.5814388862364295 -12.373235 -0.8400455666666669
 16.089035 4.431666999999999 -0.514753 5.44233696811241 1.9196907633883518]"
3889,idle,"[-0.8619129999999999 -0.28395233333333336 0.488417 0.3782835 -0.2920925
 0.3214945663211468 -0.014438912152944017 4.563349 5.942089666666667
 7.1395100000000005 0.9971847499999997 5.9735335 0.6853496631230095
 -0.723297820412304 5.702989 7.541895299999999 10.237606
 0.9935937499999996 7.484275 0.8288737342882065 2.0509406577644036]"
2906,running,"[-2.470816 9.759245066666665 39.188293 11.644200000000001 5.6048265
 10.640915895528646 0.45451297783539113 -12.631808 8.396146166666666
 27.609934000000006 19.83237025 11.0157215 11.568214963241914
 -1.0323078124140288 -6.153098 5.5618903 26.235662 7.58602825 3.1507695
 7.23226985595893 1.0522835427089055]"
4913,walking,"[-11.75553 1.2676501 16.132132000000002 5.2923835 1.599327
 5.476023914257348 1.2389992845042688 -19.378668 -11.5766036 -3.912125
 7.120355999999999 -12.842497999999999 4.71019616975165
 -1.1796801792146263 -19.038692 -0.5655104000000003 26.743233
 3.9707837500000003 -0.438139 8.429276737387001 2.941746948272873]"
3995,idle,"[-0.124498 -0.09720443333333331 -0.038307 0.017956749999999994 -0.100556
 0.018134952952210515 1.8883252135736663 0.177171 0.22026666666666667
 0.263362 0.01316799999999993 0.220267 0.01640216506305053
 1.2545506620013036 9.730036 9.766108433333335 9.797073
 0.021547749999999866 9.768343 0.015964438099900377 -0.0692054035984202]"
637,running,"[-6.660669 7.066725666666667 28.931534000000006 13.958196 6.229713
 10.051725789284788 -0.4496424299315005 -16.247053 8.0283968 27.05448
 18.361132249999997 6.787561999999999 12.371298468018516
 -0.7808670412434182 -5.200206 3.4599408666666664 15.231912 9.763554
 1.6424225000000001 6.09339536576715 -0.9020145154822528]"
