,class,samples
3189,running,"[-5.295974 7.0887524000000015 27.087997 10.819397500000001 4.240131
 8.871124221776064 -0.4294298775559491 -9.452309 9.229009300000001
 29.836542 24.53578 6.1507045 12.55657242192245 -1.363578085950456
 -9.667787 0.0815625666666666 12.014104 6.66186675 -1.0773905
 5.499183280394733 -0.5880391442482082]"
1344,running,"[-25.134329 -4.0334316 14.393941 13.73673175 -2.9616274999999996
 9.940811395602656 -0.5586445096308927 -13.919888 10.146467433333335
 38.819588 18.832790250000002 9.651027 15.696619225721925
 -0.9835304122878155 -26.29791 -2.1894175666666666 8.90643
 10.657789000000001 -1.194707 8.115530603401647 0.7207842470147154]"
3488,idle,"[-2.044648 0.2740563333333334 1.225831 0.051475999999999966 0.390255
 0.5838157363696946 9.066115788847975 -0.105345 0.4236141666666666
 5.707777 0.0550665 -0.023941999999999998 1.3785218042023633
 6.817376413943354 5.655105000000002 9.518867233333333 9.782708
 0.028731000000000506 9.749189 0.7655150996208883 18.705150265851042]"
6046,walking,"[-14.45619 -4.2062930000000005 2.853889 7.12753825 -3.0454245
 4.904627405323391 -0.6303399288573033 -19.895817 -9.883104999999999
 -1.403002 6.356605249999997 -11.745954 5.015369866253222
 -0.8488211186394103 -15.691598 -0.4702213000000003 37.138855 3.597288
 -1.3263875 10.061586195323068 5.03053288004268]"
734,running,"[-7.096413 6.754043266666667 24.966736 16.78814175 5.736508000000001
 8.9712688958552 -1.0612656346977514 -20.920534 8.591512833333333 36.28173
 27.187357499999997 10.1562035 17.035237907855123 -1.0369855484461095
 -16.462529999999994 -0.3326342999999998 11.482592 3.96719225 0.521936
 6.141749037971155 1.1219888058635323]"
2768,running,"[-7.2544309999999985 6.307604400000001 36.73663 6.846220000000001
 4.4963115 9.677522481207005 3.1762935172237157 -16.51999
 11.094571033333333 39.01591 19.57978 8.913612999999998 13.833651667987578
 -0.6446456073480777 -6.847417 1.738190566666667 16.836026999999998
 4.70819775 1.21386 5.13030460520469 1.2833624202615495]"
1948,running,"[-16.778566 -4.576915466666666 4.946421 6.758831249999998 -4.7117885
 5.013702417837339 -0.2815587307609446 -10.85531 9.203949933333332
 32.949005 13.10945125 9.947908 10.911995539792484 -0.5007648671287122
 -11.851298 0.37716659999999996 10.290278 6.224925000000001 1.570596
 5.034515183669252 0.3695036708564414]"
2672,running,"[-4.443638 4.529350766666667 22.950817 9.9407255 3.854665
 7.101967531956223 -0.2109172846780507 -15.729905 7.817228366666667
 27.648243 10.814608750000001 7.180211 10.999041643726786
 -0.5027229732812546 -13.488933 -1.238440633333333 11.171345 7.01620825
 -1.9728219999999999 5.32210594072246 0.031254114891799745]"
1747,running,"[-4.774038 6.653007833333334 21.332336 6.902483 6.047753999999999
 6.940870272686723 -0.3528727056657259 -11.520899 7.865431533333333
 31.565157 17.48365725 8.7627785 11.034573400644382 -0.8802320502871552
 -5.310339 5.404511333333332 28.06962 12.17571225 2.3223754999999997
 9.498781168410071 -0.3738151119798361]"
2353,running,"[-2.451662 6.259081766666666 24.71295 8.04691175 4.424485000000001
 7.4286124936165585 0.509081427129507 -12.406754 5.705861433333334 23.9899
 17.368736000000002 7.283161499999999 10.158669156230449
 -1.113545552276662 -7.3789289999999985 1.5642118999999999 22.380997
 7.710526750000001 0.6919245 6.728875954033865 1.2802706526558199]"
5063,walking,"[-11.391612 -3.2503681666666666 3.016694 3.82713125 -2.2505495
 3.922793284389676 -0.4095278795210402 -19.651608 -9.20794 8.082825
 8.682573 -10.955866499999999 6.907324170004533 -0.015382136745248687
 -21.902157 -1.496375933333333 24.076092000000006 5.5737015 -0.8403645
 8.822988999671061 2.3528163906021833]"
2760,running,"[-4.788403 6.266743166666667 23.894133 10.39562325 5.600038
 8.013104548772697 -0.28411894304280105 -9.734824 9.242416700000001
 30.722397 20.436906 7.888894499999999 11.708472204457204
 -1.1418528480671302 -7.283161 1.776657533333333 11.793838 8.323442
 1.3072344999999999 5.2178409683137765 -0.8603543890317265]"
4789,walking,"[-13.445837 -4.1949605 5.750873 4.212597000000001 -3.0789429999999998
 4.318046269860593 -0.26877189052600636 -20.590134 -8.4949467 9.270349
 5.486313750000001 -8.554482 5.9734617801798215 1.506051409931449
 -14.705187 0.4671886333333334 22.821531 3.07295775 0.0167595
 5.838958269222656 6.016814112915256]"
3045,running,"[-1.7477669999999998 10.278946366666668 29.965828 15.365986249999999
 8.410831 10.00860859145914 -0.8310293006300515 -10.912771 9.4312393
 26.053703 14.2993695 11.4778025 10.780708995730203 -0.7969231588066341
 -15.198392000000002 2.6759196 23.434446 9.062054250000001
 1.3694834999999999 8.66233341943608 0.33928088939290113]"
4229,idle,"[0.196325 0.25250846666666665 0.320823 0.039504750000000005 0.251391
 0.028834884233896657 -0.20370340435182843 -0.047884 -0.010534500000000002
 0.038307 0.0119715 -0.014365 0.017502152019585094 1.2618252003702652
 9.730036 9.767864166666666 9.844957 0.023941999999999908
 9.765948999999999 0.021675063151131966 3.1903227048044567]"
4904,walking,"[-9.849746 -3.9839515666666667 -0.244209 2.9400794999999995 -3.643975
 2.294600670314898 -0.19824725826526013 -17.0946 -6.773036933333334
 8.073248 11.09592775 -8.6191265 7.351628405268359 -0.7991453825330677
 -13.814544 -1.8218277 3.495535 4.043807 -1.7405845000000002
 3.7621452183415087 1.8723388671102148]"
3881,idle,"[0.196325 0.2587334333333333 0.316035 0.027532999999999974 0.260968
 0.027659151784636408 0.15446206789653338 -0.052672 -0.011811333333333333
 0.02873 0.01675975 -0.014365 0.018075011275853252 0.14885542023532272
 9.730036 9.763395033333333 9.792285 0.014364999999999739 9.763555
 0.013738826625015011 0.21899756490300692]"
1070,running,"[-3.931279 2.8430348 22.936453 5.197812 3.1364045000000003
 4.916113868553483 6.7955841152628675 -10.91756 4.870923733333333
 16.534357 6.7576345 3.849877 5.733562601250187 0.5898706105155287
 -5.626374 8.423440066666668 22.079329 6.3997020000000004 8.0660655
 6.033955057924517 0.3144923289050121]"
3201,running,"[-9.375694 5.281289799999998 27.59557 13.7906015 4.34787 8.96480503645981
 -0.3838918964357383 -12.962208 7.5117280000000015 31.838095000000006
 17.878700750000004 6.062119 12.310863809243507 -0.7586783708291343
 -8.724471000000001 1.6031576333333328 17.712304999999994 9.03452
 0.9504980000000001 7.144184695923026 -0.2737256424478902]"
550,running,"[-6.258443 7.495128266666667 38.29286 12.36126275 4.000711
 11.136329754102864 1.2775877255567538 -18.301277 10.517249266666665
 38.848316 21.701044 9.418789499999999 15.15081579465613
 -0.744416995774051 -8.283937 0.3141193999999999 11.568783
 5.4120930000000005 -0.35673649999999996 4.310902479626299
 0.02099095532402373]"
205,running,"[-5.2241480000000005 5.0212794999999995 32.082302 9.009380750000002
 3.490746 8.267354896688971 2.344302967265797 -11.918336 8.678661866666667
 26.877308000000006 20.304027249999997 8.288726 11.54657159438784
 -0.9806673325794786 -22.026655 0.308373333333333 31.115046000000003
 10.0233255 -1.5131355000000002 9.633399157856184 2.081345762961476]"
3274,running,"[-10.955867 6.686686399999999 33.17885 11.2180325 5.5665195
 10.13464963088744 0.4314330401594568 -15.911864 9.827559500000003
 32.26905 16.869545249999998 7.838616500000001 13.495328032204663
 -0.9132317348868342 -13.76666 2.819411933333334 27.854143 10.089166
 1.142034 9.839450548772152 0.4462609805001545]"
3593,idle,"[0.196325 0.2553815333333333 0.320823 0.03232174999999998 0.258574
 0.02905667365194363 -0.26543787207542513 -0.047884 -0.01005566666666667
 0.038307 0.014366 -0.014365 0.017931406335130424 0.8579086944832102
 9.730036 9.768981466666668 9.844957 0.02753300000000003 9.768343
 0.02168856495595989 2.9284618115685]"
4154,idle,"[-0.976834 -0.287783 0.105345 0.344765 -0.1819595 0.26632407505255695
 -0.03323796922809796 5.094861 5.538905933333335 6.258444 0.28491
 5.4994809999999985 0.302731546738463 -0.29827939451496466 7.010223
 7.818026433333333 9.006986999999997 0.48362899999999875 7.855375999999999
 0.385580214086743 1.5111398134178593]"
3884,idle,"[0.186748 0.26416019999999996 0.368707 0.03710975 0.263362
 0.03994959731495008 0.4386590746059271 -0.134075 -0.0159613 0.02873
 0.0407015 -0.014365 0.03460329688546068 2.9380743224134918 9.725247
 9.767864133333335 9.835381 0.023941999999999908 9.768343
 0.020811768244166348 1.964123516639864]"
2821,running,"[-10.793061 6.640877166666668 38.78128 10.400411750000002 3.857059
 10.169770379718424 1.4265431018993366 -11.918336 8.740592100000002
 36.037525 20.258537999999998 6.646304000000001 14.071865591289054
 -0.8626591580591847 -10.630256 3.4843615666666667 39.188293
 8.548497500000002 1.0079585 9.226185718386471 5.10156157779495]"
2881,running,"[-8.48984 6.2210937 29.645006 10.299856000000002 3.5984850000000006
 10.293382506592376 -0.4735970853202893 -18.607735 9.314562066666667
 35.6353 23.880965749999998 8.6167325 16.1861242074424 -1.0101345944130264
 -6.971914999999999 -0.34604176666666664 9.615114 8.06606575 -1.233014
 4.863703433096776 -0.96365565462107]"
2574,running,"[-6.62715 5.978960166666667 30.511707 8.55208875 4.460398
 9.224462529129484 0.9766116830415146 -11.812991 4.944186266666666
 23.645136 19.838354 3.320758 10.965720022097898 -1.1639125427885493
 -7.235277000000001 -0.4290406333333336 9.619903 6.27041425
 -2.1092915000000003 4.598458439009096 -0.6454520045444374]"
5193,walking,"[-11.889606 -4.0677484999999995 7.580042999999999 4.575319 -3.993528
 4.109907808736296 0.6880822785574012 -23.300371 -10.664253166666665
 -0.632069 6.072892999999999 -10.9750205 5.508061032536465
 -0.30247863632605076 -15.691598 0.09433166666666658 31.986534
 4.8243160000000005 -1.18513 8.341413978075769 5.348089275523007]"
578,running,"[-9.294291 5.279374499999999 30.248344 11.87763425 4.089297
 9.296570149325925 0.05618271271370734 -14.623784 6.832573 24.061728
 11.5448405 6.56969 10.663209983933584 -0.7593973851600277 -8.710106
 2.4213359666666667 15.777789000000002 11.62863725 1.601721
 6.8920876215530775 -0.9145433567502219]"
4452,walking,"[-16.462529999999994 -4.110046033333333 3.117251 4.32392775 -2.8562825
 3.7417392728720995 2.0197886579843614 -15.404294 -8.513781166666666
 -1.163582 5.456385499999999 -8.2887265 3.807086691778584
 -0.7449203230589783 -22.965183 -1.3768254666666668 5.5689129999999984
 4.331110750000001 -0.081403 5.246529024601342 7.014269787315003]"
275,running,"[-5.372588 6.391560933333335 30.210037 9.362526 5.1116209999999995
 8.65093327597286 0.6117458226008834 -14.614207 6.347028533333334
 26.202143 18.5766105 7.3717475 11.426155595131382 -0.8716471541828814
 -11.501745 2.762270366666667 23.822308 10.4219595 1.628057
 7.665768476619559 0.18470640158964535]"
6261,walking,"[-13.378799 -4.9069961 3.39019 3.93846175 -4.465186 3.4616626219750275
 0.6135254350313368 -13.819332 -7.808449400000001 9.725247
 4.662708000000002 -8.42759 4.509747212564097 5.204058607516686 -11.377247
 -1.4644531666666671 21.859062 4.03063825 -1.592144 5.541932059054678
 8.12230720674736]"
3595,idle,"[-1.072602 0.14955786666666665 3.739743 0.55904575 -0.1843535
 1.0046556906046877 4.012163942889693 4.0174699999999985 6.6201276
 9.916783 0.49799349999999976 6.936002500000001 1.227333431394436
 1.2884598666111025 2.901773 6.8185271 9.074024 0.5997482500000002
 6.837839999999999 1.1419992237805987 3.3389107176706494]"
1151,running,"[-5.123591 7.041985733333333 21.332336 7.365760999999999
 6.5361709999999995 6.7145482373048395 -0.38477180952633105 -9.136273
 7.714915866666668 25.34023 15.8735575 8.207323500000001 9.419944863446226
 -1.0687861329616044 -5.310339 6.7692064 28.06962 11.29225225 3.5649665
 9.054802451284633 -0.29537692051380837]"
2077,running,"[-6.7516490000000005 6.961380966666666 34.749443 11.00853975 4.22816
 10.284637722969434 0.27848402061994637 -16.730682 7.859046966666668
 26.977865 18.766949750000002 7.285556 11.968010885197424
 -1.0014873625506058 -13.144167 3.2653719666666663 36.79409 7.76200175
 2.109292 9.691313277006143 2.852706554548159]"
5631,walking,"[-11.75553 1.1164961666666668 16.132132000000002 3.4045549999999998
 1.3407529999999999 5.368987435290644 1.557176495954888 -19.378668
 -11.7034963 -4.338293 6.7863647500000015 -12.842497999999999
 4.417317307851506 -1.034773951107534 -19.038692 -0.009736366666666729
 26.743233 3.57454325 -0.8643069999999999 9.575505321229912
 2.2469302018170323]"
2639,running,"[-12.861651 3.6940937000000003 23.779213 6.825869749999999 3.9576155
 8.75518036152798 0.10811676821873739 -12.622231 9.065086166666667
 33.451786 15.708359249999997 8.133103000000002 12.54911655794671
 -0.6516937406613503 -13.196839 -0.7605579333333332 13.790602 5.3486465
 -0.9002195 5.474145261446764 0.738566358225051]"
1216,running,"[-2.796427 7.189308999999999 34.538754 8.0301525 5.3678004999999995
 7.971661314128483 2.6331938253648097 -14.671668 5.408022933333333
 22.299595 14.349647749999999 8.3413985 10.25496426861999
 -0.8584512774268123 -11.305421 3.4666445 27.35136 9.9167835 1.3623005
 7.623963083624311 1.2055043325829073]"
2966,running,"[-9.375694 5.503152499999999 27.59557 11.931504 4.34787 8.63584273391802
 -0.18108443472773228 -12.962208 7.575892633333335 31.838095000000006
 18.104952250000004 6.4906809999999995 12.421718608434462
 -0.794651446128257 -8.724471000000001 1.2061989666666664
 17.712304999999994 8.75798975 0.9504980000000001 6.783333894945195
 0.19874444804801517]"
5801,walking,"[-11.722012 -3.4591425 2.092532 4.88177725 -2.8754359999999997
 3.629043012474076 -0.3638419718568775 -17.314869 -10.567846733333335
 -0.651223 5.315128249999997 -11.061211499999999 3.9303149436470606
 0.013903932131007046 -11.453861 -1.8243816 14.614207 3.3638527500000004
 -1.6112975 4.655720755720811 3.4065707139951726]"
4052,idle,"[-0.656011 0.23686646666666666 0.938527 0.0395045 0.251391
 0.21379286300384825 11.046461539818548 -1.996764 -0.07262413333333333
 0.411803 0.0466875 -0.0167595 0.3680951906980705 21.989633705783426
 7.924808 9.709605266666667 9.873688 0.02633600000000058 9.773131
 0.33276454473826117 24.589393703837978]"
924,running,"[-8.015787 3.8206671000000005 18.904617 11.83334175 2.6982654999999998
 7.232243212853645 -0.7608266231920631 -10.807426 6.969042433333334
 28.87886 9.463082250000001 7.1371155 9.357971303427217
 -0.12994560811748457 -9.318233 0.9682154000000001 21.677105
 4.9955015000000005 -0.038307499999999994 5.429141667680571
 5.208970615369601]"
148,running,"[-10.304645 4.781061266666667 21.662737 7.219715249999999
 5.0541599999999995 7.233657583208911 -0.07745557618661181 -13.55597
 8.061436966666667 25.594019 11.12346075 7.699753000000001
 10.61414296301657 -0.4452206894685711 -6.847417 2.871605733333333
 28.61071 5.58567325 0.7757215 6.953731421878448 4.112753124106775]"
4178,idle,"[-10.448297 -0.37557033333333334 0.54109 0.3447655 0.220267
 1.988443185905418 19.027983512144484 -1.996764 1.8116127 5.995081
 4.813542750000001 0.014365 2.5288992583776726 -1.5277185376970535
 4.553772 8.987673566666667 9.797073 1.3682857499999983 9.742007000000001
 1.2032413434718927 4.486626986167301]"
5842,walking,"[-18.555063 -3.8952065333333343 2.542642 4.4975075 -2.798822
 4.352028731070058 2.450671685272223 -24.191013 -9.6325117 -0.397437
 6.651093000000001 -9.5552585 5.511198552325711 0.07081591446810087
 -15.753847 -1.5734692333333336 18.784906 5.93283225 -1.6927005
 6.0897251570551445 2.7516712591415056]"
5137,walking,"[-10.500969 -3.5715104333333327 2.197877 2.96042975 -2.9640215000000003
 3.1410787024783033 -0.01606408232813017 -17.137695 -8.8548751 6.92882
 5.856217749999999 -9.94312 5.141231189652788 1.7689064383045192
 -26.853367 -1.8278931999999999 17.712304999999994 3.6260179999999997
 -1.0558429999999999 8.030803459041357 2.724624965737318]"
5169,walking,"[-7.101202000000002 0.3770071666666665 7.972691999999999 5.58567325
 0.675165 4.115392648652674 -0.8295483401688433 -25.82386
 -9.517111233333335 1.599327 8.425196250000003 -9.868898999999999
 6.247351551249536 -0.05689428591990753 -8.772355000000001
 -0.47612679999999996 18.119318 5.815515749999999 -0.9361329999999999
 5.186362479767095 3.3840908159067595]"
4897,walking,"[-8.125919999999999 1.193270166666667 8.192958 4.017470250000001 1.005565
 3.494028976371271 0.23817821386955584 -22.270864000000003
 -10.006486033333335 0.09098 6.047753499999998 -10.062830000000002
 4.906289208532667 -0.17225257797064497 -16.481684 1.2165739 34.035973
 4.849456249999999 -0.9265559999999999 9.383704708623727 4.293836779347079]"
584,running,"[-4.999093 7.0794949 35.012802 10.230423250000001 4.6303865
 9.138334611890581 1.372787219495553 -14.690822 7.2319257000000015
 30.813375 18.09058775 7.943962 12.018944552650453 -0.9058596518385289
 -8.853758000000003 0.9763554666666666 13.120225 5.943606
 -0.055067000000000005 5.567870095149004 -0.42529060986304446]"
5518,walking,"[-15.638926 -4.427038466666667 5.932832 5.000290750000001 -3.694253
 4.245213404926249 0.6703861235849207 -21.08813 -9.264124033333333
 9.083601 4.655525999999998 -10.821791999999999 5.990644298249889
 2.650887861814441 -12.555194 -0.07884900000000018 20.51352 3.64038325
 -0.699107 7.0966599707368765 1.9475875939536724]"
4584,walking,"[-6.186617 0.45633496666666656 16.874334 3.30998425 -0.18195900000000004
 4.283928485880038 5.065135911242502 -22.529438 -9.151117733333335
 0.373495 8.74362475 -9.756371999999999 5.859029117305602
 -0.7972998478524098 -15.040375 -0.39472396666666665 8.676587 7.3968855
 -0.641646 4.89798743533175 0.69482315130612]"
3797,idle,"[-0.234632 -0.09608726666666666 0.076614 0.05027799999999999 -0.098162
 0.06186665557090418 0.8304416491860707 0.153229 0.22186263333333336
 0.354342 0.05506675 0.225055 0.04141958234497569 1.4672101678310066
 9.744401 9.775365899999999 9.911995 0.01795599999999986 9.773131
 0.027995649800579028 16.04620512088967]"
6396,stairs,"[-4.649539 2.035071633333333 8.288725999999999 5.097256249999999 2.030283
 3.3404450289149747 -0.6968190049289653 -19.416977 -9.312486666666667
 -0.483629 4.167108000000001 -8.508993 4.605328463269761
 0.01074668996418593 -14.422671 -0.2847503333333334 10.582372 3.281254
 -0.09816200000000001 5.0533017317114055 1.4688973569217127]"
5543,walking,"[-15.519216 -3.975970866666666 3.701436 4.65313025 -2.8778305
 4.1142091903117155 0.580085425246768 -17.290924 -8.583851466666665
 13.359646 8.591592999999998 -9.057265000000001 6.828889046852466
 2.1154446218125864 -19.919758 -1.5653290000000004 19.589357
 5.559336500000001 -0.8714895 7.464158458476249 1.9414029826458759]"
2692,running,"[-3.332729 6.389645633333333 28.64423 9.45470275 6.327875499999999
 8.03902965119581 0.9164543820272799 -11.990162 9.832826699999998
 28.926744 18.905813499999997 8.9950155 12.0214706553834
 -0.9371749409368579 -4.91769 1.7691554999999999 12.617443
 7.432798999999999 0.732626 4.733710621537278 -0.7229079646460495]"
3753,idle,"[0.186748 0.2604891666666666 0.368707 0.03591274999999999 0.260968
 0.039844542398412466 0.6006321432344786 -0.134075 -0.013407466666666666
 0.02873 0.037110000000000004 -0.011970999999999999 0.03467096938528769
 3.352990719364561 9.734824 9.768821833333336 9.835381 0.02753300000000003
 9.768343 0.02013986223071606 2.015748110257574]"
3853,idle,"[0.23942 0.2590526333333333 0.287304 0.016759750000000018 0.258574
 0.011686691335256339 0.12165939613551258 -0.052672 -0.019791999999999994
 -0.004788000000000001 0.009577000000000002 -0.019154 0.010688118234750212
 1.0347492385925197 9.739613 9.767385299999999 9.797073
 0.019154000000000337 9.768343 0.014279860291450088 -0.8674068762142242]"
696,running,"[-27.763163 4.364310566666666 28.376078000000003 9.1530325
 3.4428620000000003 10.053403918312267 2.1995664112696787 -12.392388
 6.8327325666666665 30.89478 15.83165925 7.316680499999999
 10.686412934750942 -0.5474233908767161 -13.359646 1.4850436 13.062764
 8.950723 1.106121 6.337784088411126 -0.521449959702156]"
4433,idle,"[0.023942 0.27006596666666666 0.938527 0.03112474999999998 0.253785
 0.13589618617397703 16.909649388555934 -0.201113 0.006065266666666666
 0.411803 0.023941999999999998 -0.009577 0.08649166608443973
 14.26431847285317 9.701305 9.773929500000003 9.873688
 0.028731000000000506 9.7755255 0.02964905987801293 3.105121546383823]"
6295,walking,"[-9.892841 -2.3244505666666666 6.737284 5.30914175 -2.0829554999999997
 3.804450693176609 -0.19046365039963975 -17.477673 -9.542968666666665
 -0.344765 5.561730499999999 -10.591948 4.338268869320805
 -0.5408931458377375 -12.607866 0.5011862333333332 18.698715 3.8833955
 -0.6440400000000001 5.720069785200613 3.0832945185115745]"
4527,walking,"[-15.112201 -0.6778781333333332 5.7365080000000015 3.32075725 -0.6488285
 3.7700965661726733 4.881798811146285 -20.84871 -8.555599933333331 5.78918
 4.653130750000001 -7.905653999999998 5.00933101722856 1.174177878686666
 -25.94357 -1.2409945000000002 24.344242 3.91691325 -0.995988
 7.198739824323953 7.116271318119191]"
434,running,"[-5.7125650000000014 5.829402433333332 24.689009 6.447585249999998
 5.5353945 6.056687877998353 1.6328897780489697 -5.535394
 7.943801833333334 21.74414 8.2995 8.707711999999997 7.6970545529582
 -0.6749067360644494 -8.566454 1.1552822666666667 14.03481 6.24168375
 1.244985 5.291478236507865 0.21122634123621298]"
6000,walking,"[-12.488156 -3.5188380333333327 1.551443 3.55778325 -2.705448
 3.6090950679380605 0.15924529063705206 -26.068068 -11.125536033333335
 1.580173 5.4132915000000015 -11.168951 5.1587985815514745
 1.2648084313782828 -13.757082999999998 -1.2815361 30.286652 4.85663825
 -1.2210425 8.020398151412847 6.246891211812091]"
5925,walking,"[-11.722012 -3.2585084333333327 2.092532 4.140772499999999 -2.80361
 3.5663302800525423 -0.09099082425298288 -17.314869 -10.288363566666668
 -0.651223 5.681440999999998 -10.943895999999999 4.083303430604855
 -0.3597840105288568 -8.710106 -1.2603076999999998 14.614207 3.15316375
 -1.3024455000000001 4.341231660572501 3.9508828120284587]"
2710,running,"[-5.420472 6.918604500000001 28.107927 11.007342499999998 4.3598415
 8.629654812437744 -0.26971046502785745 -12.670115 9.8243673 28.835766
 17.893065500000002 7.647079999999999 11.388491741542477
 -0.8836865559822047 -14.30775 -0.4106853333333334 21.32276 5.85502
 -0.05746100000000001 7.171538849233608 1.509241340332899]"
5627,walking,"[-12.641385 -3.043189966666667 2.312799 3.8798037500000007
 -2.6168620000000002 3.754712072528753 0.5665551082925826 -27.88766
 -12.126152700000002 0.488417 5.513846749999999 -11.657368
 6.632444057021936 0.261956095241902 -17.774553 -1.6044342666666664
 14.144943 6.403292250000002 -1.9584570000000001 6.477417840432775
 0.7805125172062275]"
6317,stairs,"[-9.528923 -0.8352571333333335 9.035717 5.185841 -0.6703764999999999
 3.7180845940404565 0.4350335012295252 -20.159178 -9.916304499999997
 -1.489193 7.410054 -9.428366 5.019729012176233 -0.5744361399979652
 -13.962984 -1.4063539666666671 12.617443 4.2437225000000005
 -0.9552864999999999 5.476958678288084 0.8609330707736498]"
5745,walking,"[-13.417107 -3.3727916666666666 2.667141 3.9372644999999995 -2.0925325
 3.9269279108568766 0.0867570858569553 -17.48246 -8.546182633333334
 6.92882 7.819463250000001 -9.8473515 6.275800984135998
 -0.2870358003930642 -26.853367 -2.5217329000000004 16.74026
 3.6260179999999997 -1.6615755 7.622889120263782 2.9597134800259832]"
3779,idle,"[-0.976834 -0.2467623666666667 0.038307 0.213084 -0.1819595
 0.21457079918005048 2.4115504618977877 5.094861 5.4576626333333325
 6.038176999999999 0.2968807500000006 5.456386 0.21576765491680833
 0.16361654365087208 7.04853 7.920657833333333 9.006986999999997
 0.44771475000000116 7.9918455 0.3868201442464856 1.1969916896866337]"
1753,running,"[-27.068844 -3.927129100000001 6.200983 8.724471 -2.387019
 7.855510960699756 1.4464207282567836 -13.057976 10.1210887 33.791763
 13.008894750000003 9.363723499999999 12.071885110829182
 -0.5391820697528602 -15.380351999999998 -2.4966733666666654 8.039729
 6.45357075 -1.8722655000000001 5.121567319471852 0.33108975308786315]"
2880,running,"[-6.38773 5.759012933333334 22.73055 8.58201625 4.707001 7.789270738021191
 -0.35281975311029923 -16.893488 8.884563466666666 33.274615999999995
 11.949460499999995 7.654262999999999 12.218771909842445
 -0.47653638751400207 -8.111555000000001 1.191514533333333 27.988218
 8.711303249999998 -0.8714895 7.395542037506558 3.564340575404871]"
1799,running,"[-35.166035 -7.133284333333333 8.652645 10.01494575 -4.8410755000000005
 9.923258132526419 0.9806618484076082 -14.164097 9.029492333333335
 29.625853000000006 18.40901675 8.046911999999999 12.190853477269668
 -0.9413381522109203 -12.670115 -1.8108144000000002 10.802638
 9.943119750000001 -2.229002 6.446894090163685 -1.0628752697737662]"
5426,walking,"[-10.749966 -3.5202743666666665 4.716578 2.1248542500000003
 -3.0214825000000003 3.0032013029079767 1.015756098262508 -16.151285
 -8.595822499999999 7.7859440000000015 7.663838999999999 -9.0189575
 5.732395904370731 1.1082193055735923 -22.093693 -1.9900603000000003
 15.638926 3.4057517500000003 -2.0997145 6.7335241519543
 2.8167898422390207]"
1212,running,"[-5.544971 5.150406900000001 20.30762 7.569269499999998 4.2999865
 6.418827609268369 0.16744870820908764 -10.266336 7.193458833333333
 25.560497 15.50485 8.8369985 10.081830578893186 -0.8680095387212208
 -5.152322 2.1485567333333337 17.990032 7.0796545 0.387861
 5.8757955180503405 0.6683146611873334]"
4408,idle,"[0.177171 0.2510719333333334 0.301669 0.043095999999999995 0.253785
 0.03119662892999106 -0.5475624787745415 -0.114922 -0.009097966666666667
 0.047884 0.039504 -0.011970999999999999 0.03504268215522639
 1.1453242046517378 9.730036 9.768981433333334 9.844957
 0.03711075000000008 9.7635545 0.025807995679224875 0.5890523944585855]"
3465,idle,"[-1.426944 0.09800269999999997 1.096544 0.6356605 0.153229
 0.556600733636967 0.4405666299699762 3.615245 4.412833133333333 5.88016
 0.7457937499999998 4.2521024999999995 0.5733776101083669
 0.0897083520208688 7.8817119999999985 8.691590666666665 9.41879
 0.5434832500000013 8.719683 0.4228347695899927 -0.804431251295159]"
620,running,"[-9.308656 4.865018066666667 28.88365 14.6094185 4.1084505
 10.859709670214361 -0.30790759038535764 -17.808075 8.043400366666667
 39.08774 14.976928499999996 6.8617825 14.145354064303978
 -0.4601382485750518 -13.388376 -0.8082823 9.030929 5.1307735
 -0.9433149999999999 5.515073952013211 0.1351988844784069]"
1639,running,"[-6.7516490000000005 6.811982766666665 34.749443 11.94946025 2.928109
 10.255651885642907 0.3574987742233975 -16.730682 7.156907433333332
 26.977865 18.55266775 8.798691 11.519590069679271 -0.8601992405021943
 -13.144167 1.9017943333333338 36.79409 9.85333675 0.033518999999999965
 9.865352947230472 3.199560712517016]"
1532,running,"[-22.998701 -4.336856833333333 14.393941 13.76665925 -5.1954175
 8.535397732835193 -0.42467665341874117 -15.787366 9.318871766666668
 38.819588 21.10129675 6.5361709999999995 15.296995231236387
 -0.8617580959581361 -26.29791 -0.7931191000000003 25.081657
 10.656591500000001 -1.194707 8.418663889793722 3.063315545459953]"
4817,walking,"[-18.555063 -4.180754966666666 9.701305 5.159504500000001 -2.9616275
 5.760632149086426 0.3879261438160939 -19.756952 -9.220389833333334
 0.301669 7.600393500000001 -9.9455135 5.5484829456354054
 -1.0802417985989097 -18.727446 -0.9718861666666669 33.92105 6.1746465
 -1.4556745000000002 8.706603188568002 6.666826707051413]"
1282,running,"[-25.723303 -4.3619161 3.86903 7.38252075 -2.8706475 6.787714001499932
 1.9225361198285427 -7.335833999999998 9.2539089 29.539661 9.639056
 9.095572 9.146661788707984 -0.1976944240605989 -12.823344
 -1.3265472999999994 9.528923 4.989516500000001 -1.7214310000000002
 5.077724906890829 0.5103551529546255]"
3313,running,"[-5.592855 6.408639466666667 31.976957 8.757988749999999 4.0629605
 8.599351229148105 0.8161816556706589 -10.457873 10.015903433333333
 33.64332 12.295422000000002 6.854599499999999 12.05412068883066
 -0.7088663250808005 -32.69043 0.8644664333333328 16.658855 4.3634325
 0.09337400000000001 8.309363685994091 6.867815295416856]"
